3.3039999999999807 0 2.821999999999984 1 0.46000000000000035 2 0.022000000000000006 0 22461427; 1 2 
6.3259999999999605 0 3.2379999999999813 1 2.9759999999999804 2 0.11200000000000009 0 22461427; 1 2384071; 2 
29.93799999999998 0 10.321999999999953 1 18.327999999999992 2 1.288000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492; 2 17850012; 
31.522000000000002 0 11.527999999999963 1 18.663999999999973 2 1.330000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492; 2 17850012; 
32.88600000000002 0 11.409999999999972 1 20.159999999999982 2 1.316000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269; 2 17850012; 
34.098000000000035 0 12.481999999999964 1 20.205999999999978 2 1.410000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269; 2 17850012; 
35.04800000000003 0 12.64599999999995 1 21.004 2 1.398000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991; 2 17850012; 
36.210000000000036 0 12.635999999999957 1 22.141999999999978 2 1.432000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748; 2 17850012; 
37.03200000000005 0 13.395999999999951 1 22.231999999999978 2 1.404000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748; 2 17850012; 
38.617999999999995 0 13.687999999999963 1 23.465999999999955 2 1.464000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822; 2 17850012; 
39.44600000000004 0 13.575999999999972 1 24.48199999999994 2 1.388000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891; 2 17850012; 
40.66000000000005 0 13.54999999999994 1 25.64999999999994 2 1.460000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844; 2 17850012; 
41.778000000000006 0 14.643999999999968 1 25.667999999999953 2 1.466000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844; 2 17850012; 
43.20999999999999 0 15.973999999999979 1 25.783999999999978 2 1.452000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844; 2 17850012; 
44.42800000000002 0 16.007999999999964 1 26.96999999999992 2 1.450000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744; 2 17850012; 
46.13999999999998 0 16.11399999999999 1 28.48199999999995 2 1.5440000000000011 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437; 2 17850012; 
47.201999999999934 0 16.219999999999985 1 29.397999999999957 2 1.5840000000000012 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626; 2 17850012; 
47.891999999999996 0 17.135999999999985 1 29.235999999999937 2 1.5200000000000011 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027 14927129; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626; 2 17850012; 
49.15999999999994 0 17.98999999999999 1 29.645999999999948 2 1.5240000000000011 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027 14927129 16220573; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626; 2 17850012; 
50.14999999999992 0 18.049999999999983 1 30.575999999999976 2 1.5240000000000011 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027 14927129 16220573; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626 20657078; 2 17850012; 
51.575999999999965 0 19.309999999999988 1 30.68799999999997 2 1.5780000000000012 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027 14927129 16220573 17431643; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626 20657078; 2 17850012; 
53.0099999999999 0 20.19199999999997 1 31.177999999999976 2 1.6400000000000012 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027 14927129 16220573 17431643 28447324; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626 20657078; 2 17850012; 
54.17799999999995 0 20.29999999999997 1 32.257999999999996 2 1.6200000000000012 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027 14927129 16220573 17431643 28447324; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626 20657078 15483913; 2 17850012; 
55.34399999999984 0 20.33199999999999 1 33.41800000000003 2 1.5940000000000012 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027 14927129 16220573 17431643 28447324; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626 20657078 15483913 18208795; 2 17850012; 
56.279999999999916 0 20.363999999999976 1 34.31800000000005 2 1.5980000000000012 0 22461427 7376382 19624059 27512951 14368074 9018932 14138511 15757811 11395432 30296618 29863027 14927129 16220573 17431643 28447324; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431 20112492 15105269 25681991 14825748 10125822 23863891 16431844 16412744 16102437 14319626 20657078 15483913 18208795 15420486; 2 17850012; 
